,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy
z_rep_total_votes,1.0,,,,,-0.09247625068135532,-0.09350448247290868,0.007994894849145928,0.01917571604831311,-0.012902310368778296,0.5119238065454507,-0.02505951262323879,0.4215300809155002
z_rep_avg_voting_power,,,,,,,,,,,,,
z_rep_median_voting_power,,,,,,,,,,,,,
z_rep_max_voting_power,,,,,,,,,,,,,
z_rep_voting_power_std,,,,,,,,,,,,,
z_rep_pct_for_votes,-0.09247625068135532,,,,,1.0,-0.3190995146841306,-0.23283817486370867,0.32436257878985114,0.072707796778608,0.012799053051687185,0.06453994435568276,-0.10018745179634281
z_rep_pct_against_votes,-0.09350448247290868,,,,,-0.3190995146841306,1.0,0.06589785503762717,-0.49213058834731116,-0.09203164668855131,-0.3188423659679312,-0.2902576001310857,0.38550882696414934
z_rep_pct_abstain_votes,0.007994894849145928,,,,,-0.23283817486370867,0.06589785503762717,1.0,-0.4843157807368236,-0.013247428963108912,0.054741104359705355,0.06369678861241374,0.40191446946902565
z_rep_pct_aligned_with_majority,0.01917571604831311,,,,,0.32436257878985114,-0.49213058834731116,-0.4843157807368236,1.0,0.04875810297301753,0.19381756179926946,0.16111251555566036,-0.49149115886043504
z_rep_is_whale_ratio,-0.012902310368778296,,,,,0.072707796778608,-0.09203164668855131,-0.013247428963108912,0.04875810297301753,1.0,0.06998919337175408,0.10783994918297594,-0.047154677995478296
z_rep_active_duration_days,0.5119238065454507,,,,,0.012799053051687185,-0.3188423659679312,0.054741104359705355,0.19381756179926946,0.06998919337175408,1.0,0.7185087647728705,0.201164209878987
z_rep_avg_days_between_votes,-0.02505951262323879,,,,,0.06453994435568276,-0.2902576001310857,0.06369678861241374,0.16111251555566036,0.10783994918297594,0.7185087647728705,1.0,-0.04444128109242914
z_rep_choice_entropy,0.4215300809155002,,,,,-0.10018745179634281,0.38550882696414934,0.40191446946902565,-0.49149115886043504,-0.047154677995478296,0.201164209878987,-0.04444128109242914,1.0
