feature,is_scale_driven,log_transformed,selected_for_clustering
n_unique_voters,True,False,True
total_votes,True,False,False
n_proposals,True,False,False
avg_voters_per_proposal,False,False,False
median_voters_per_proposal,True,False,False
voter_turnout_proxy,False,False,False
gini_voting_power,False,False,False
hhi_voting_power,False,False,False
whale_ratio_top1pct,False,False,False
proposal_frequency_per_30d,False,False,False
repeat_voter_rate,False,False,False
mean_participation_count,True,False,False
std_participation_count,True,False,False
mean_participation_vp,True,False,False
std_participation_vp,True,False,False
mean_robust_participation_vp,True,False,False
std_robust_participation_vp,True,False,False
mean_n_voters,True,False,False
mean_sum_vp,True,False,False
raw_rep_total_votes,True,False,False
raw_rep_avg_voting_power,True,False,False
raw_rep_median_voting_power,True,False,False
raw_rep_max_voting_power,True,False,False
raw_rep_voting_power_std,False,False,False
raw_rep_pct_for_votes,False,False,False
raw_rep_pct_against_votes,False,False,False
raw_rep_pct_abstain_votes,True,False,False
raw_rep_pct_aligned_with_majority,False,False,False
raw_rep_is_whale_ratio,False,False,False
raw_rep_active_duration_days,True,False,False
raw_rep_avg_days_between_votes,True,False,False
raw_rep_choice_entropy,False,False,False
z_rep_total_votes,True,False,False
z_rep_avg_voting_power,True,False,False
z_rep_median_voting_power,True,False,False
z_rep_max_voting_power,True,False,False
z_rep_voting_power_std,False,False,False
z_rep_pct_for_votes,False,False,False
z_rep_pct_against_votes,False,False,False
z_rep_pct_abstain_votes,True,False,False
z_rep_pct_aligned_with_majority,False,False,False
z_rep_is_whale_ratio,False,False,False
z_rep_active_duration_days,True,False,False
z_rep_avg_days_between_votes,True,False,False
z_rep_choice_entropy,False,False,False
n_voters_in_dao,True,False,False
